iter	Passed	Remaining
0	0	231
1	0	238
2	1	229
3	1	216
4	2	211
5	2	209
6	2	206
7	3	205
8	3	211
9	4	212
10	4	213
11	5	212
12	5	211
13	6	210
14	6	210
15	6	209
16	7	207
17	7	206
18	8	204
19	8	204
20	8	203
21	9	202
22	9	202
23	10	200
24	10	200
25	10	199
26	11	202
27	12	209
28	12	209
29	13	210
30	13	211
31	14	212
32	15	212
33	15	211
34	15	210
35	16	208
36	16	207
37	16	206
38	17	205
39	17	204
40	18	203
41	18	203
42	19	203
43	19	203
44	20	204
45	20	205
46	21	205
47	21	204
48	22	203
49	22	203
50	23	202
51	23	202
52	23	201
53	24	201
54	24	200
55	25	199
56	25	198
57	26	199
58	26	198
59	27	198
60	27	197
61	27	197
62	28	196
63	28	195
64	29	195
65	29	194
66	30	194
67	30	194
68	30	193
69	31	193
70	31	192
71	32	192
72	32	191
73	33	191
74	33	191
75	34	190
76	34	190
77	35	189
78	35	189
79	36	189
80	36	189
81	37	188
82	37	188
83	37	187
84	38	187
85	38	187
86	39	187
87	39	186
88	40	186
89	40	186
90	41	187
91	42	186
92	42	186
93	43	186
94	43	185
95	44	185
96	44	185
97	45	185
98	45	184
99	45	183
100	46	182
101	46	182
102	47	181
103	47	180
104	47	180
105	48	179
106	48	178
107	49	178
108	49	177
109	50	177
110	50	177
111	51	176
112	51	176
113	52	176
114	52	175
115	52	174
116	53	174
117	53	173
118	54	173
119	54	172
120	54	171
121	55	170
122	55	170
123	55	169
124	56	169
125	57	169
126	57	169
127	58	168
128	58	168
129	58	167
130	59	166
131	59	166
132	59	165
133	60	164
134	60	163
135	61	163
136	61	162
137	61	162
138	62	161
139	62	160
140	62	160
141	63	159
142	63	159
143	64	159
144	64	158
145	65	158
146	65	158
147	66	157
148	66	157
149	67	156
150	67	156
151	68	155
152	68	155
153	68	154
154	69	154
155	69	154
156	70	153
157	71	153
158	71	153
159	71	152
160	72	152
161	72	151
162	73	151
163	73	151
164	74	150
165	74	150
166	75	149
167	75	149
168	76	148
169	76	148
170	76	147
171	77	147
172	77	147
173	78	146
174	79	147
175	79	146
176	80	146
177	80	146
178	81	146
179	81	145
180	82	145
181	82	144
182	83	144
183	83	143
184	84	143
185	84	142
186	85	142
187	85	142
188	86	141
189	86	141
190	87	140
191	87	140
192	87	139
193	88	139
194	88	138
195	89	138
196	89	137
197	90	137
198	90	137
199	91	136
200	91	136
201	91	135
202	92	135
203	93	135
204	93	134
205	94	134
206	94	133
207	94	133
208	95	132
209	95	132
210	96	131
211	96	131
212	97	130
213	97	130
214	97	129
215	98	129
216	98	128
217	99	128
218	99	127
219	99	127
220	100	126
221	100	126
222	101	125
223	101	125
224	102	124
225	102	124
226	102	123
227	103	123
228	103	122
229	103	121
230	104	121
231	104	120
232	104	120
233	105	119
234	105	119
235	106	118
236	106	118
237	106	117
238	107	117
239	108	117
240	108	116
241	108	116
242	109	115
243	109	115
244	110	114
245	110	114
246	111	113
247	111	113
248	111	112
249	112	112
250	112	111
251	112	111
252	113	110
253	113	110
254	114	109
255	114	109
256	114	108
257	115	108
258	115	107
259	116	107
260	116	106
261	116	106
262	117	105
263	117	105
264	117	104
265	118	104
266	118	103
267	119	103
268	119	102
269	119	102
270	120	101
271	120	101
272	120	100
273	121	100
274	121	99
275	122	99
276	122	98
277	123	98
278	123	97
279	124	97
280	124	96
281	124	96
282	125	95
283	125	95
284	125	95
285	126	94
286	126	94
287	127	93
288	127	93
289	127	92
290	128	92
291	128	91
292	129	91
293	129	90
294	129	90
295	130	89
296	130	89
297	131	88
298	131	88
299	131	87
300	132	87
301	132	87
302	133	86
303	133	86
304	134	85
305	134	85
306	134	84
307	135	84
308	135	83
309	135	83
310	136	82
311	136	82
312	137	82
313	138	81
314	138	81
315	139	80
316	139	80
317	140	80
318	140	79
319	140	79
320	141	78
321	141	78
322	142	77
323	142	77
324	142	76
325	143	76
326	143	76
327	144	75
328	144	75
329	144	74
330	145	74
331	145	73
332	146	73
333	146	72
334	147	72
335	147	71
336	147	71
337	148	71
338	148	70
339	148	70
340	149	69
341	149	69
342	150	68
343	150	68
344	150	67
345	151	67
346	151	67
347	152	66
348	152	66
349	153	65
350	153	65
351	154	64
352	154	64
353	154	63
354	155	63
355	155	62
356	155	62
357	156	61
358	156	61
359	157	61
360	157	60
361	157	60
362	158	59
363	158	59
364	159	58
365	159	58
366	159	57
367	160	57
368	160	57
369	161	56
370	161	56
371	161	55
372	162	55
373	162	54
374	163	54
375	163	53
376	163	53
377	164	52
378	164	52
379	164	52
380	165	51
381	165	51
382	166	50
383	166	50
384	167	49
385	167	49
386	168	49
387	168	48
388	169	48
389	169	47
390	169	47
391	170	46
392	170	46
393	171	46
394	171	45
395	171	45
396	172	44
397	172	44
398	172	43
399	173	43
400	173	42
401	174	42
402	174	42
403	174	41
404	175	41
405	175	40
406	176	40
407	176	39
408	177	39
409	177	38
410	178	38
411	178	38
412	178	37
413	179	37
414	179	36
415	180	36
416	180	35
417	180	35
418	181	35
419	182	34
420	182	34
421	182	33
422	183	33
423	183	32
424	184	32
425	184	32
426	184	31
427	185	31
428	185	30
429	186	30
430	186	29
431	186	29
432	187	28
433	187	28
434	188	28
435	188	27
436	189	27
437	189	26
438	189	26
439	190	25
440	190	25
441	191	25
442	191	24
443	191	24
444	192	23
445	192	23
446	193	22
447	193	22
448	193	22
449	194	21
450	194	21
451	194	20
452	195	20
453	195	19
454	196	19
455	196	18
456	197	18
457	197	18
458	198	17
459	198	17
460	198	16
461	199	16
462	199	15
463	200	15
464	200	15
465	201	14
466	201	14
467	201	13
468	202	13
469	202	12
470	203	12
471	203	12
472	204	11
473	204	11
474	205	10
475	205	10
476	205	9
477	206	9
478	206	9
479	207	8
480	207	8
481	207	7
482	208	7
483	208	6
484	208	6
485	209	6
486	209	5
487	210	5
488	210	4
489	211	4
490	211	3
491	211	3
492	212	3
493	212	2
494	213	2
495	213	1
496	213	1
497	214	0
498	214	0
499	215	0
